music		Data/music/Splater1mus2.bor
bossmusic	data/music/SplaterSonEditado.ogg
background	data/bgs/st9/back.gif
panel		data/bgs/st9/st9.gif
frontpanel	data/bgs/st9/front.gif
noslow		0
order		a
settime		0
notime		1
direction	right












#-------1



wait
at      0

fog

group   7 7
at      0

spawn	fog
coords	350 230
at	0

spawn	fog
coords	350 230
at	0

spawn	fog
coords	350 230
at	0

spawn	skel2
coords	350 230
at	0

spawn	skel2
coords	350 230
at	0

spawn	fog
coords	350 230
at	0

spawn	fog
coords	350 230
at	0

spawn	fog
coords	350 230
at	0

spawn	skel2
coords	350 230
at	0

spawn	skel2
coords	350 230
at	0

spawn	fog
coords	350 230
at	0

spawn	fog
coords	350 230
at	0

spawn	fog
coords	350 230
at	0

spawn	skel2
coords	350 230
at	0

spawn	skel2
coords	350 230
at	0

spawn	Corpse_Eater
coords	-60 160
at	0

spawn	Corpse_Eater
coords	-60 160
at	0

spawn	Corpse_Eater
coords	350 230
at	0

spawn	Corpse_Eater
coords	350 230
at	0

spawn	Corpse_Eater
coords	350 230
at	0




spawn	Undress
map      1
coords	350 210
at	0

spawn	Undress
coords	350 210
at	0



spawn	Headache
map      1
coords	350 210
at	0

spawn	Headache
coords	350 210
at	0





spawn	Hanging_Corpse
map      1
coords	330 -160
at	0

spawn	Hanging_Corpse
map      1
coords	330 -160
at	0

spawn	Hanging_Corpse
map      1
coords	330 -160
at	0

spawn	Hanging_Corpse
map      1
coords	330 -160
at	0

spawn	Screaming_Mimi
map      1
coords	350 160
at	0



spawn	Screaming_Mimi
map      1
coords	350 210
at	0


spawn	Screaming_Mimi
map      1
coords	350 160
at	0



spawn	Screaming_Mimi
map      2
coords	350 210
at	0


spawn	Screaming_Mimi
map      2
coords	350 160
at	0



spawn	Screaming_Mimi
map      1
coords	350 210
at	0




###################################################################



wait
at      100


group   8 8
at      100

spawn	Undress
map      1
coords	350 210
at	100

spawn	Undress
coords	350 210
at	100



spawn	Headache
map      1
coords	350 210
at	100

spawn	Headache
coords	350 210
at	100






spawn	Undress
map      1
coords	350 210
at	100

spawn	Undress
coords	350 210
at	100



spawn	Headache
map      1
coords	350 210
at	100

spawn	Headache
coords	350 210
at	100

spawn	Undress
map      1
coords	350 210
at	100

spawn	Undress
coords	350 210
at	100



spawn	Headache
map      1
coords	350 210
at	100

spawn	Headache
coords	350 210
at	100

spawn	Undress
map      1
coords	350 210
at	100

spawn	Undress
coords	350 210
at	100



spawn	Headache
map      1
coords	350 210
at	100

spawn	Headache
coords	350 210
at	100

spawn	Undress
map      1
coords	350 210
at	100

spawn	Undress
coords	350 210
at	100



spawn	Headache
map      1
coords	350 210
at	100

spawn	Headache
coords	350 210
at	100

spawn	Undress
map      1
coords	350 210
at	100

spawn	Undress
coords	350 210
at	100



spawn	Headache
map      1
coords	350 210
at	100

spawn	Headache
coords	350 210
at	100

 #############################################################################


wait
at 250

group 4 4
at 250


spawn	Screaming_Mimi
map      2
coords	-60 160
at	250



spawn	Screaming_Mimi
map      1
coords	350 210
at	250

spawn	Screaming_Mimi
coords	350 210
at	250

spawn	Screaming_Mimi
map      3
coords	-60 160
at	250

spawn	Headache
map      1
coords	350 210
at	250

spawn	Headache
coords	350 210
at	250

spawn	Undress
coords	350 210
at	250

spawn	walker
coords	-60 160
at	250

spawn	walker
coords	-60 160
at	250

spawn	walker
coords	-60 160
at	250

spawn	walker
coords	-60 160
at	250

spawn	Headache
coords	350 210
at	250

spawn	Undress
coords	350 210
at	250

spawn	walker
coords	-60 160
at	250

spawn	walker
coords	-60 160
at	250

spawn	walker
